SETTLEMENTDATE,TOTALDEMAND,forcastedDemand,testDemand
2018-10-30 08:00:00,,,1270.81
2018-10-30 08:30:00,,,1192.25
2018-10-30 09:00:00,,,1130.58
2018-10-30 09:30:00,,,1074.66
2018-10-30 10:00:00,,,1036.51
2018-10-30 10:30:00,,,989.14
2018-10-30 11:00:00,,,967.39
2018-10-30 11:30:00,,,968.08
2018-10-30 12:00:00,,,974.73
2018-10-30 12:30:00,,,955.72
2018-10-30 13:00:00,,,953.03
2018-10-30 13:30:00,,,965.43
2018-10-30 14:00:00,,,959.19
2018-10-30 14:30:00,,,958.85
2018-10-30 15:00:00,,,992.03
2018-10-30 15:30:00,,,1032.71
2018-10-30 16:00:00,,,1067.74
2018-10-30 16:30:00,,,1109.85
2018-10-30 17:00:00,,,1203.65
2018-10-30 17:30:00,,,1280.87
2018-10-30 18:00:00,,,1372.64
2018-10-30 18:30:00,,,1411.73
2018-10-30 19:00:00,,,1455.74
2018-10-30 19:30:00,,,1471.55
2018-10-30 20:00:00,,,1500.2
2018-10-30 20:30:00,,,1462.72
2018-10-30 21:00:00,,,1403.94
2018-10-30 21:30:00,,,1355.08
2018-10-30 22:00:00,,,1315.17
2018-10-30 22:30:00,,,1303.64
2018-10-30 23:00:00,,,1280.03
2018-10-30 23:30:00,,,1295.39
2018-10-31 00:00:00,,,1427.48
2018-10-31 00:30:00,,,1374.34
2018-10-31 01:00:00,,,1331.95
2018-10-31 01:30:00,,,1293.0
2018-10-31 02:00:00,,,1247.75
2018-10-31 02:30:00,,,1223.55
2018-10-31 03:00:00,,,1231.44
2018-10-31 03:30:00,,,1215.27
2018-10-31 04:00:00,,,1207.01
2018-10-31 04:30:00,,,1217.41
2018-10-31 05:00:00,,,1243.64
2018-10-31 05:30:00,,,1268.04
2018-10-31 06:00:00,,,1297.05
2018-10-31 06:30:00,,,1368.86
2018-10-31 07:00:00,,,1427.59
2018-10-31 07:30:00,,,1371.21
2018-10-31 08:00:00,,,1293.28
2018-10-31 08:30:00,,,1206.78
2018-10-31 09:00:00,,,1144.75
2018-10-31 09:30:00,,,1092.16
2018-10-31 10:00:00,,,1052.5
2018-10-31 10:30:00,,,1035.84
2018-10-31 11:00:00,,,1012.43
2018-10-31 11:30:00,,,1013.41
2018-10-31 12:00:00,,,1013.37
2018-10-31 12:30:00,,,1012.93
2018-10-31 13:00:00,,,999.28
2018-10-31 13:30:00,,,1015.61
2018-10-31 14:00:00,,,1026.02
2018-10-31 14:30:00,,,1047.58
2018-10-31 15:00:00,,,1092.4
2018-10-31 15:30:00,,,1156.48
2018-10-31 16:00:00,,,1223.35
2018-10-31 16:30:00,,,1294.89
2018-10-31 17:00:00,,,1372.59
2018-10-31 17:30:00,,,1453.95
2018-10-31 18:00:00,,,1476.22
2018-10-31 18:30:00,,,1451.96
2018-10-31 19:00:00,,,1428.57
2018-10-31 19:30:00,,1771.39,
2018-10-31 20:00:00,,1717.58,
2018-10-31 20:30:00,,1635.18,
2018-10-31 21:00:00,,1560.82,
2018-10-31 21:30:00,,1516.63,
2018-10-31 22:00:00,,1422.19,
2018-10-31 22:30:00,,1375.04,
2018-10-31 23:00:00,,1328.1,
2018-10-31 23:30:00,,1333.36,
2018-11-01 00:00:00,,1480.61,
2018-11-01 00:30:00,,1378.87,
2018-11-01 01:00:00,,1362.75,
2018-11-01 01:30:00,,1279.45,
2018-11-01 02:00:00,,1214.47,
2018-11-01 02:30:00,,1215.35,
2018-11-01 03:00:00,,1227.27,
2018-11-01 03:30:00,,1226.88,
2018-11-01 04:00:00,,1243.47,
2018-11-01 04:30:00,,1236.53,
2018-11-01 05:00:00,,1240.01,
2018-11-01 05:30:00,,1270.47,
2018-11-01 06:00:00,,1308.28,
2018-11-01 06:30:00,,1341.64,
2018-11-01 07:00:00,,1383.83,
2018-11-01 07:30:00,,1356.12,
2018-11-01 08:00:00,,1367.28,
2018-11-01 08:30:00,,1393.62,
2018-11-01 09:00:00,,1394.53,
2018-11-01 09:30:00,,1365.84,
2018-11-01 10:00:00,,1382.49,
2018-11-01 10:30:00,,1380.2,
